F090W_vega,F150W_vega
19.496,18.213
20.047,18.513
20.991,19.869
20.969,20.282
21.368,20.201
21.405,20.553
21.828,20.622
21.867,21.29
21.918,21.289
22.022,21.446
23.175,21.413
22.687,21.587
22.271,21.733
22.387,21.835
22.521,21.914
22.603,21.933
22.794,22.214
23.993,21.995
25.556,22.154
23.445,22.731
23.722,22.8
23.72,22.862
26.159,22.841
24.092,22.948
23.892,23.166
24.057,23.103
23.942,23.139
24.028,23.168
25.052,23.082
24.075,23.297
24.42,23.263
24.294,23.351
24.196,23.335
24.318,23.327
24.296,23.362
24.339,23.43
24.483,23.534
25.116,23.355
24.41,23.526
24.601,23.591
24.66,23.661
24.744,23.781
24.831,23.796
24.999,23.978
25.928,23.998
25.717,23.963
25.672,24.038
25.435,23.998
25.633,24.014
25.65,24.114
26.352,24.14
26.297,24.159
26.083,24.189
26.173,24.184
25.925,24.221
26.021,24.181
26.083,24.174
25.443,24.314
25.804,24.22
25.993,24.291
25.457,24.362
25.416,24.352
25.464,24.347
25.417,24.366
26.356,24.319
26.562,24.353
25.445,24.353
25.953,24.362
25.997,24.388
26.558,24.348
26.226,24.366
25.558,24.445
26.175,24.373
26.389,24.408
26.331,24.422
26.314,24.349
25.981,24.369
25.603,24.434
26.243,24.446
26.345,24.439
26.326,24.439
26.42,24.431
26.117,24.46
25.894,24.402
26.334,24.458
26.54,24.491
26.553,24.453
26.542,24.454
26.271,24.457
26.277,24.503
26.446,24.447
26.165,24.528
26.285,24.456
26.501,24.455
26.278,24.536
26.331,24.531
25.783,24.577
28.045,24.703
26.111,24.506
26.162,24.487
26.313,24.496
26.197,24.557
26.396,24.538
25.676,24.571
26.422,24.587
26.318,24.526
26.249,24.573
26.121,24.615
26.384,24.535
26.126,24.613
26.557,24.62
26.734,24.561
26.085,24.559
26.364,24.62
26.848,24.581
25.78,24.598
26.64,24.639
26.344,24.57
25.749,24.613
26.249,24.594
26.282,24.59
26.388,24.612
26.476,24.652
26.229,24.589
27.256,24.691
26.624,24.589
25.768,24.649
26.453,24.675
26.387,24.669
25.751,24.674
26.208,24.619
26.634,24.682
26.423,24.676
26.715,24.707
26.486,24.695
26.216,24.637
26.458,24.707
26.45,24.684
25.859,24.768
26.406,24.661
26.32,24.657
26.476,24.719
26.452,24.729
26.363,24.726
26.706,24.735
26.325,24.747
26.593,24.753
26.646,24.732
26.408,24.728
26.59,24.743
26.493,24.683
26.45,24.743
26.415,24.765
26.774,24.764
26.337,24.764
26.491,24.7
26.361,24.755
26.258,24.785
26.476,24.776
26.492,24.776
26.464,24.787
26.937,24.74
26.783,24.737
26.322,24.791
26.467,24.783
26.509,24.769
25.869,24.803
26.312,24.82
26.569,24.793
26.644,24.737
26.453,24.816
25.954,24.856
26.514,24.749
26.194,24.85
26.414,24.839
26.712,24.815
26.318,24.788
26.843,24.777
26.531,24.826
27.166,24.865
26.424,24.858
27.288,24.807
26.034,24.868
26.711,24.832
26.011,24.89
26.398,24.776
26.842,24.839
26.938,24.873
26.396,24.862
26.37,24.806
26.525,24.862
26.432,24.806
26.732,24.857
26.604,24.871
26.827,24.801
26.756,24.817
26.586,24.881
26.492,24.862
26.452,24.88
26.208,24.85
26.794,24.832
26.593,24.837
26.647,24.912
26.644,24.898
26.074,24.936
26.61,24.842
26.587,24.881
26.699,24.906
26.416,24.9
26.664,24.884
26.699,24.911
26.432,24.866
26.688,24.906
26.496,24.938
26.872,24.942
26.504,24.889
26.524,24.877
26.341,24.876
26.674,24.941
27.019,24.953
26.729,24.889
26.54,24.887
26.511,24.873
26.369,24.959
26.982,24.974
26.533,24.887
26.373,24.966
26.561,24.908
26.713,24.917
26.641,24.959
26.036,24.937
26.705,24.973
26.412,24.994
26.789,24.935
26.62,24.962
26.89,25.011
26.617,24.979
26.954,25.038
26.535,24.94
26.45,25.006
26.781,25.036
26.536,24.982
26.72,25.016
26.554,24.966
26.66,24.963
26.749,24.981
26.588,25.021
26.849,24.985
26.827,25.053
27.016,25.023
26.202,25.105
26.729,24.981
26.729,24.995
26.526,24.997
26.399,25.078
26.741,25.066
26.739,24.987
26.684,25.074
26.683,25.064
26.496,25.005
26.732,25.072
26.719,25.06
27.349,25.037
26.922,25.002
26.218,25.033
26.947,25.063
26.612,25.081
26.659,25.052
26.54,25.084
26.401,25.018
26.531,25.059
26.686,25.031
26.948,25.103
26.088,25.096
26.63,25.074
27.079,25.099
26.589,25.092
26.855,25.048
26.713,25.106
27.031,25.042
26.68,25.089
26.559,25.124
27.017,25.127
26.427,25.125
26.375,25.086
26.807,25.072
26.569,25.119
26.659,25.063
26.731,25.052
26.652,25.067
26.695,25.07
26.535,25.15
