F090W_vega,F150W_vega
20.06,19.921
23.765,21.746
24.752,22.019
23.978,22.031
24.567,22.118
24.193,22.127
24.07,22.188
24.165,22.227
23.896,22.265
24.749,22.297
24.487,22.296
24.346,22.319
23.733,22.37
24.023,22.347
24.291,22.376
24.279,22.401
24.274,22.413
23.743,22.527
24.022,22.499
24.372,22.505
24.316,22.516
24.786,22.526
24.655,22.56
24.426,22.57
24.585,22.567
24.593,22.591
24.657,22.61
24.37,22.615
24.217,22.617
24.54,22.62
24.701,22.629
24.374,22.636
24.614,22.65
24.088,22.679
24.564,22.66
25.324,22.695
24.44,22.699
24.521,22.716
25.018,22.726
24.42,22.742
25.197,22.771
24.286,22.777
24.878,22.775
24.83,22.798
25.272,22.826
24.667,22.811
25.045,22.82
24.681,22.828
24.597,22.849
24.391,22.862
24.826,22.869
24.483,22.896
24.812,22.915
24.599,22.914
24.715,22.928
24.956,22.954
24.503,22.962
24.853,22.967
25.395,22.995
24.869,22.963
25.364,23.005
24.735,22.987
24.866,23.003
24.887,23.049
24.667,23.068
24.826,23.058
24.624,23.072
24.722,23.079
24.82,23.08
25.068,23.086
25.106,23.095
24.716,23.093
24.726,23.104
24.639,23.127
24.781,23.139
25.323,23.148
24.745,23.158
24.666,23.139
24.718,23.162
24.67,23.166
24.869,23.169
24.661,23.202
25.409,23.187
25.142,23.202
24.99,23.262
24.843,23.268
24.95,23.253
24.911,23.268
24.466,23.306
25.955,23.317
25.311,23.28
25.216,23.294
24.941,23.299
25.37,23.309
25.181,23.302
24.49,23.355
24.833,23.322
25.052,23.324
24.772,23.326
24.918,23.332
25.406,23.334
25.037,23.342
25.202,23.338
25.078,23.331
24.909,23.369
24.748,23.38
25.091,23.364
25.047,23.37
26.259,23.431
24.867,23.388
25.022,23.388
25.123,23.389
25.002,23.392
25.049,23.406
25.168,23.399
25.007,23.404
25.141,23.405
25.187,23.417
25.038,23.406
25.262,23.411
25.416,23.431
25.254,23.396
24.922,23.437
25.176,23.435
24.956,23.436
25.0,23.43
24.994,23.457
25.196,23.452
25.026,23.462
25.068,23.479
25.292,23.479
24.009,23.76
25.103,23.489
25.127,23.491
25.246,23.497
25.148,23.484
25.374,23.489
25.219,23.519
25.202,23.505
25.047,23.503
25.092,23.512
25.19,23.501
26.97,23.636
25.178,23.493
25.125,23.524
24.977,23.521
25.339,23.511
25.041,23.522
25.102,23.521
25.022,23.541
25.191,23.541
25.065,23.547
25.091,23.544
25.017,23.553
25.143,23.544
24.873,23.563
25.025,23.542
25.314,23.562
25.05,23.563
25.26,23.565
25.068,23.55
25.201,23.562
25.169,23.562
25.051,23.568
25.186,23.564
25.26,23.567
25.152,23.583
25.183,23.583
25.281,23.599
25.225,23.594
25.086,23.584
26.387,23.661
25.154,23.597
23.921,24.073
25.087,23.599
25.116,23.611
25.182,23.603
25.128,23.603
25.251,23.602
25.35,23.609
25.01,23.603
25.257,23.628
25.266,23.628
25.23,23.633
25.11,23.645
25.33,23.632
25.144,23.652
25.251,23.662
25.308,23.669
25.316,23.675
25.119,23.674
25.239,23.671
25.333,23.683
25.324,23.671
25.279,23.685
25.122,23.682
25.311,23.67
25.4,23.691
25.473,23.683
25.119,23.702
25.225,23.701
25.107,23.706
25.249,23.7
25.285,23.696
25.468,23.718
25.357,23.692
25.234,23.718
25.347,23.714
25.448,23.71
25.245,23.724
25.262,23.71
25.401,23.726
25.153,23.724
25.482,23.714
25.333,23.739
25.456,23.722
25.271,23.725
25.804,23.74
25.276,23.733
25.169,23.744
25.433,23.737
25.195,23.753
25.17,23.758
25.146,23.747
25.265,23.771
25.282,23.766
25.34,23.773
25.41,23.767
25.451,23.775
25.204,23.782
25.293,23.797
25.4,23.789
25.463,23.789
25.141,23.799
25.137,23.805
25.232,23.794
25.484,23.8
25.345,23.793
25.477,23.802
25.089,23.812
25.218,23.817
25.193,23.822
25.362,23.809
25.202,23.819
25.246,23.823
25.414,23.822
25.449,23.82
25.32,23.828
25.462,23.824
25.48,23.831
24.159,24.288
25.4,23.836
25.452,23.831
25.391,23.844
25.436,23.83
25.491,23.838
25.601,23.855
25.409,23.842
25.296,23.852
25.288,23.848
25.402,23.85
24.918,23.888
25.517,23.841
25.437,23.844
25.47,23.859
25.249,23.869
25.393,23.866
25.192,23.872
25.507,23.862
25.323,23.867
25.271,23.883
25.379,23.894
25.396,23.869
25.567,23.881
25.411,23.887
25.305,23.903
25.275,23.902
25.571,23.895
25.466,23.891
25.405,23.899
25.389,23.906
25.399,23.912
25.482,23.903
25.524,23.92
25.398,23.909
25.444,23.913
25.484,23.915
25.477,23.904
25.476,23.906
25.451,23.908
25.471,23.923
25.339,23.927
25.518,23.931
25.387,23.921
25.41,23.929
25.361,23.924
25.346,23.924
25.463,23.95
25.429,23.944
24.377,24.273
25.06,23.99
25.458,23.961
25.43,23.957
25.481,23.954
25.453,23.96
