F090W_vega,F150W_vega
18.529,17.567
19.217,18.152
19.516,18.184
19.707,18.525
20.145,19.062
20.547,19.945
21.675,20.225
22.162,21.073
22.499,21.421
22.551,21.426
22.452,21.881
22.527,21.933
23.031,21.926
23.336,22.212
23.228,22.425
23.427,22.306
23.274,22.588
23.307,22.65
23.774,22.628
23.797,22.728
23.951,22.813
24.115,22.831
24.178,23.033
24.655,23.135
24.359,23.273
25.461,23.999
24.443,23.402
25.263,23.323
24.546,23.475
25.039,23.802
24.914,23.836
25.024,23.889
25.858,23.935
26.208,24.062
25.836,24.071
26.108,24.153
25.881,24.127
25.915,24.155
26.131,24.26
25.981,24.251
25.412,24.301
26.024,24.302
25.152,24.448
26.216,24.321
26.315,24.353
26.391,24.422
27.254,24.485
26.208,24.451
26.016,24.496
26.423,24.532
26.352,24.545
26.076,24.505
26.507,24.53
25.738,24.614
26.713,24.602
26.524,24.598
25.778,24.612
25.759,24.655
26.702,24.639
26.785,24.647
26.319,24.632
26.686,24.646
26.785,24.696
26.499,24.685
26.61,24.71
26.601,24.724
26.415,24.677
26.686,24.732
26.907,24.773
26.669,24.77
26.413,24.786
26.523,24.789
26.944,24.782
26.848,24.799
26.778,24.81
26.487,24.806
26.334,24.79
26.759,24.819
26.817,24.825
26.898,24.832
26.833,24.852
26.766,24.833
27.035,24.85
25.906,24.826
26.821,24.858
26.919,24.85
26.493,24.849
26.839,24.869
26.764,24.865
26.648,24.861
26.784,24.873
26.726,24.863
26.855,24.885
26.684,24.876
26.904,24.854
26.832,24.902
26.702,24.893
26.792,24.892
25.989,24.877
26.794,24.91
26.781,24.917
26.694,24.861
26.147,24.938
26.779,24.905
26.79,24.928
26.791,24.928
26.572,24.917
26.797,24.941
27.098,24.969
26.54,24.867
26.918,24.946
26.811,24.947
26.762,24.954
26.654,24.95
26.702,24.962
26.722,24.97
26.603,24.905
26.999,24.996
26.999,25.0
27.115,25.001
27.023,25.026
26.958,25.002
26.957,24.998
26.907,24.988
26.902,24.99
26.848,24.963
26.753,24.984
26.831,25.004
26.559,24.99
26.829,24.993
26.928,25.012
26.956,24.95
26.654,25.0
26.953,25.028
27.974,25.114
26.88,25.019
26.397,25.013
26.218,24.967
27.25,25.028
26.758,25.016
26.84,25.023
26.726,25.012
26.902,24.97
26.623,25.017
26.707,25.025
26.151,25.043
26.194,24.988
27.371,25.014
26.685,25.018
26.71,25.039
27.041,25.041
26.736,25.023
26.387,25.033
26.881,25.032
26.687,25.036
27.123,25.054
26.618,25.036
26.879,25.044
26.884,24.994
26.673,25.044
27.094,25.064
26.766,25.062
26.912,25.063
26.905,25.064
26.353,25.071
26.818,25.076
26.676,25.066
26.909,25.077
26.124,25.047
26.694,25.061
27.095,25.059
26.603,25.057
26.791,25.075
26.9,25.075
26.644,25.052
26.709,25.035
26.786,25.089
26.967,25.086
27.077,25.032
26.882,25.079
26.807,25.097
27.189,25.056
26.755,25.094
26.797,25.09
26.549,25.088
26.819,25.092
26.841,25.097
26.839,25.046
27.052,25.111
26.803,25.108
26.823,25.092
26.919,25.103
26.72,25.1
26.645,25.084
27.11,25.128
27.552,25.171
26.815,25.127
27.147,25.055
26.725,25.11
26.731,25.123
27.144,25.143
26.914,25.129
26.859,25.11
26.839,25.136
26.877,25.122
26.844,25.133
26.733,25.133
26.817,25.148
26.55,25.138
26.746,25.135
26.916,25.079
26.731,25.155
26.71,25.115
27.122,25.148
26.64,25.147
26.755,25.134
26.838,25.147
27.046,25.164
26.796,25.091
26.916,25.146
26.81,25.15
26.872,25.156
26.677,25.105
27.167,25.199
26.858,25.164
27.139,25.154
26.81,25.192
27.264,25.218
26.964,25.185
26.894,25.198
26.95,25.2
26.89,25.198
26.862,25.142
26.256,25.245
26.831,25.21
26.855,25.193
26.82,25.22
27.042,25.188
26.788,25.204
26.654,25.22
27.069,25.209
26.974,25.226
26.797,25.214
27.18,25.17
27.089,25.141
26.955,25.206
26.753,25.214
27.091,25.229
27.053,25.221
27.47,25.241
26.903,25.229
26.902,25.214
27.049,25.227
26.817,25.225
26.798,25.219
26.823,25.234
26.819,25.24
27.141,25.257
27.012,25.172
26.81,25.242
26.925,25.258
26.999,25.252
26.801,25.247
26.796,25.246
27.157,25.251
26.809,25.251
27.019,25.269
27.398,25.279
27.036,25.264
26.8,25.253
26.881,25.263
26.836,25.2
26.834,25.253
26.957,25.21
26.915,25.245
26.911,25.262
26.831,25.26
26.761,25.276
27.096,25.267
26.961,25.272
27.203,25.274
27.061,25.263
26.976,25.271
26.932,25.26
26.873,25.265
27.097,25.288
26.938,25.271
